itemid,label,category,value,dbsource,positive_turning_maneuver
31,Activity,,Dangle,carevue,0
31,Activity,,,carevue,0
224084,Activity,Treatments,Commode,metavision,0
31,Activity,,Comment,carevue,0
31,Activity,,Lethargic,carevue,0
31,Activity,,Unassessable,carevue,0
224084,Activity,Treatments,Bedrest,metavision,0
224084,Activity,Treatments,Chair,metavision,0
224084,Activity,Treatments,Bed as Chair,metavision,0
224084,Activity,Treatments,Ambulate,metavision,0
31,Activity,,Active,carevue,0
31,Activity,,Ambulate,carevue,0
31,Activity,,Bed as Chair,carevue,0
31,Activity,,Other/Remarks,carevue,0
31,Activity,,Commode,carevue,0
31,Activity,,Jittery,carevue,0
224084,Activity,Treatments,Dangle,metavision,0
31,Activity,,Bedrest,carevue,0
31,Activity,,Chair,carevue,0
916,Allergy 1,,Pronestyl (Oral) (Procainamide Hcl),carevue,0
927,Allergy 2,,PRONESTYL,carevue,0
228306,Assistance Device,Treatments,1 Person Assist,metavision,0
228306,Assistance Device,Treatments,Walker,metavision,0
228306,Assistance Device,Treatments,Trapeze,metavision,0
224085,Assistance Device,Treatments,Total Lift,metavision,0
224085,Assistance Device,Treatments,Slide Board,metavision,0
224085,Assistance Device,Treatments,Walker,metavision,0
54,Assistance Device,,1 Person Assist,carevue,0
54,Assistance Device,,Other/Remarks,carevue,0
54,Assistance Device,,Walker,carevue,0
54,Assistance Device,,Cane,carevue,0
228306,Assistance Device,Treatments,Independent,metavision,0
228306,Assistance Device,Treatments,Slide Board,metavision,0
224085,Assistance Device,Treatments,Hoyer,metavision,0
224085,Assistance Device,Treatments,TLSO Brace,metavision,0
54,Assistance Device,,Total Lift,carevue,0
54,Assistance Device,,,carevue,0
228306,Assistance Device,Treatments,Extremity Brace,metavision,0
228306,Assistance Device,Treatments,Cane,metavision,0
224085,Assistance Device,Treatments,2 Person Assist,metavision,0
54,Assistance Device,,Prosthesis,carevue,0
54,Assistance Device,,Trapeze,carevue,0
228306,Assistance Device,Treatments,TLSO Brace,metavision,0
228306,Assistance Device,Treatments,Prosthesis,metavision,0
224085,Assistance Device,Treatments,1 Person Assist,metavision,0
224085,Assistance Device,Treatments,Independent,metavision,0
224085,Assistance Device,Treatments,Cane,metavision,0
54,Assistance Device,,2 Person Assist,carevue,0
54,Assistance Device,,Supervised,carevue,0
54,Assistance Device,,Wheelchair,carevue,0
228306,Assistance Device,Treatments,2 Person Assist,metavision,0
224085,Assistance Device,Treatments,Supervised,metavision,0
224085,Assistance Device,Treatments,Extremity Brace,metavision,0
54,Assistance Device,,Independent,carevue,0
228306,Assistance Device,Treatments,Mechanical Lift,metavision,0
228306,Assistance Device,Treatments,Wheelchair,metavision,0
228306,Assistance Device,Treatments,Supervised,metavision,0
224085,Assistance Device,Treatments,Wheelchair,metavision,0
224085,Assistance Device,Treatments,Trapeze,metavision,0
54,Assistance Device,,Hoyer,carevue,0
54,Assistance Device,,TLSO Brace,carevue,0
54,Assistance Device,,Slide Board,carevue,0
54,Assistance Device,,Extremity Brace,carevue,0
76,Bath,,return,carevue,0
917,Diagnosis/op,,UNABLE TO STAND,carevue,0
224079,Education Response,Restraint/Support Systems,Does not understand,metavision,0
228307,GI #1 Tube Place Check,GI/GU,Bilious returns,metavision,0
228308,GI #1 Tube Place Method,GI/GU,> 30 mL bilious returns,metavision,0
228309,GI #2 Tube Place Check,GI/GU,Bilious returns,metavision,0
228310,GI #2 Tube Place Method,GI/GU,> 30 mL bilious returns,metavision,0
228311,GI #3 Tube Place Check,GI/GU,Bilious returns,metavision,0
228312,GI #3 Tube Place Method,GI/GU,> 30 mL bilious returns,metavision,0
3476,Infant Position,,Prone,carevue,0
3476,Infant Position,,Supine,carevue,0
227853,Other (Activity); Specify,OT Notes,max  A,metavision,0
227853,Other (Activity); Specify,OT Notes,mod A,metavision,0
227853,Other (Activity); Specify,OT Notes,Contact guarding,metavision,0
227853,Other (Activity); Specify,OT Notes,Supervision,metavision,0
227853,Other (Activity); Specify,OT Notes,Independent,metavision,0
227853,Other (Activity); Specify,OT Notes,min A,metavision,0
515,Pacemaker Mode,,Pacer Turned Off,carevue,0
223784,Pain Cause,Pain/Sedation,Movement/Turning,metavision,0
522,Pain Cause,,Movement/Turning,carevue,0
228474,Patient Position (Gen Proc),Generic Proc Note,,metavision,0
224495,Patient position (LP),Lumbar Puncture,,metavision,0
225245,Patient position (THCEN),Thoracentesis,,metavision,0
224844,Permanent Pacemaker Mode,Cardiovascular (Pacer Data),Pacer Turned Off,metavision,0
1844,position,,Proned,carevue,0
1844,position,,Prone,carevue,0
224093,Position,Treatments,Left Side,metavision,1
224093,Position,Treatments,Reverse T-berg,metavision,0
547,Position,,prone,carevue,0
547,Position,,RONATED,carevue,0
1844,position,,supine,carevue,0
1844,position,,Supine,carevue,0
1844,position,,PRONE,carevue,0
224093,Position,Treatments,Supine,metavision,0
